price,room_type,neighbourhood_cleansed,property_type,host_is_superhost,instant_bookable,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_30,availability_60,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,total_reviews_count,days_since_last_review,reviews_last_30_days,reviews_last_90_days,reviews_last_180_days,has_recent_reviews,review_activity_score,host_experience_years,amenities_count,distance_to_center,host_response_rate_num,host_acceptance_rate_num,days_since_first_review,review_density,price_per_person,price_per_bedroom,beds_per_person
335.0,Entire home/apt,De Pijp - Rivierenbuurt,Entire townhouse,1,0,4,2.0,3.0,3.0,2,117,0.7,1,108,0,0,0,4.71,4.76,4.63,4.95,4.88,4.82,4.56,117.0,18.0,3.0,6.0,8.0,1,4.833333333333333,14.250513347022586,56,1.7850805204533549,1.0,0.74,5228.0,0.022379495026778884,83.75,111.66666666666667,0.75
185.0,Private room,Centrum-Oost,Private room in bed and breakfast,0,0,2,1.0,1.0,1.0,2,86,0.68,3,250,7,24,54,4.92,4.97,4.95,4.95,4.93,4.89,4.75,86.0,5.0,3.0,5.0,5.0,1,4.0,13.86447638603696,49,0.6375873232291184,1.0,0.81,4000.0,0.0215,92.5,185.0,0.5
200.0,Entire home/apt,Centrum-Oost,Entire rental unit,0,0,4,1.5,2.0,2.0,4,32,0.2,3,0,0,0,0,4.63,4.69,4.63,4.84,4.88,4.91,4.66,32.0,894.0,0.0,0.0,0.0,0,0.0,13.984941820670773,18,1.1142083574001989,1.0,0.71,4973.0,0.006434747637241102,50.0,100.0,0.5
134.0,Entire home/apt,Centrum-Oost,Entire rental unit,0,0,2,1.0,1.0,1.0,3,6,0.04,3,0,0,0,0,4.83,4.8,5.0,5.0,5.0,5.0,5.0,6.0,899.0,0.0,0.0,0.0,0,0.0,13.984941820670773,18,1.3230701794312096,1.0,0.71,4773.0,0.001257071024512885,67.0,134.0,0.5
325.0,Entire home/apt,Centrum-West,Entire rental unit,0,0,2,1.0,1.0,1.0,5,100,0.61,1,307,2,9,32,4.79,4.75,4.8,4.91,4.93,4.93,4.64,100.0,52.0,0.0,2.0,4.0,0,1.3333333333333333,13.648186173853524,45,3.0179234341678494,1.0,0.46,5109.0,0.019573302016050106,162.5,325.0,0.5
271.0,Entire home/apt,Centrum-Oost,Entire rental unit,0,0,3,1.0,1.0,0.0,2,112,0.69,1,176,26,56,86,4.58,4.65,4.23,4.58,4.79,4.56,4.32,112.0,250.0,0.0,0.0,0.0,0,0.0,13.522245037645447,11,1.020604407839129,0.0,0.33,5128.0,0.0218408736349454,90.33333333333333,271.0,0.0
299.0,Entire home/apt,Centrum-Oost,Entire condo,0,0,2,1.5,1.0,1.0,5,23,0.19,1,358,23,53,83,5.0,4.96,4.87,4.96,5.0,5.0,4.78,23.0,138.0,0.0,0.0,2.0,0,0.3333333333333333,13.505817932922655,40,0.6294492807208857,0.4,0.44,3936.0,0.005843495934959349,149.5,299.0,0.5
228.0,Private room,De Pijp - Rivierenbuurt,Private room in houseboat,0,1,2,1.0,1.0,1.0,3,94,0.58,1,2,2,2,2,4.66,4.66,4.53,4.75,4.57,4.85,4.43,94.0,683.0,0.0,0.0,0.0,0,0.0,13.483915126625599,21,1.4547503345953536,1.0,0.71,5090.0,0.018467583497053044,114.0,228.0,0.5
287.0,Entire home/apt,Westerpark,Entire rental unit,0,0,4,1.5,3.0,4.0,1,0,0.51,1,2,0,0,2,4.93,4.93,4.88,4.99,5.0,4.9,4.7,0.0,60.0,0.0,0.0,0.0,0,0.0,13.429158110882957,11,3.570018152714565,1.0,0.71,979.0,0.0,71.75,95.66666666666667,1.0
124.0,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire condo,0,0,3,1.0,1.0,1.0,2,92,0.57,1,1,0,0,0,4.89,4.92,4.77,4.99,4.98,4.8,4.77,92.0,18.0,1.0,1.0,5.0,1,1.6666666666666667,13.86173853524983,46,3.4647204018361903,1.0,0.7,5089.0,0.018078207899390842,41.333333333333336,124.0,0.3333333333333333
63.0,Entire home/apt,Bos en Lommer,Entire condo,0,0,3,0.0,2.0,4.0,5,24,0.15,1,18,2,7,18,4.82,4.95,4.86,4.95,5.0,4.86,4.95,24.0,25.0,1.0,1.0,1.0,1,1.0,13.470225872689939,20,5.3640727891872775,1.0,0.33,5000.0,0.0048,21.0,31.5,1.3333333333333333
170.0,Entire home/apt,Zuid,Boat,0,0,4,1.0,2.0,2.0,3,141,0.87,1,9,0,0,0,4.88,4.87,4.81,4.92,4.89,4.67,4.72,141.0,9.0,2.0,3.0,7.0,1,3.1666666666666665,13.374401095140314,53,6.756902008944731,1.0,0.71,5086.0,0.0277231616201337,42.5,85.0,0.5
158.0,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire home,0,0,4,2.0,3.0,3.0,4,45,0.28,1,22,0,0,0,4.64,4.69,4.44,4.84,4.84,4.76,4.62,45.0,39.0,0.0,2.0,2.0,0,1.0,13.371663244353183,57,4.384412323174017,1.0,1.0,5014.0,0.008974870362983646,39.5,52.666666666666664,0.75
250.0,Private room,De Baarsjes - Oud-West,Private room in bed and breakfast,0,0,2,1.5,1.0,1.0,1,28,0.18,1,88,28,58,88,4.86,4.89,4.89,4.93,4.96,4.89,4.79,28.0,2446.0,0.0,0.0,0.0,0,0.0,13.284052019164955,26,3.2755259308086626,0.0,0.0,4997.0,0.005603362017210326,125.0,250.0,0.5
500.0,Entire home/apt,Centrum-West,Entire rental unit,0,0,4,1.0,2.0,3.0,2,62,0.39,1,87,30,57,87,4.74,4.72,4.66,4.82,4.9,4.81,4.34,62.0,2279.0,0.0,0.0,0.0,0,0.0,13.267624914442163,36,2.8658654470331943,1.0,0.0,5047.0,0.012284525460669705,125.0,250.0,0.75
215.0,Entire home/apt,Noord-Oost,Entire condo,0,0,4,1.5,1.0,2.0,2,1,0.01,1,341,30,49,79,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,2377.0,0.0,0.0,0.0,0,0.0,13.256673511293634,42,10.758447829817158,1.0,0.0,2605.0,0.00038387715930902113,53.75,215.0,0.5
175.0,Entire home/apt,Zuid,Entire rental unit,0,0,4,1.5,2.0,1.0,3,104,0.65,1,43,1,7,7,4.37,4.53,4.1,4.73,4.57,4.64,4.16,104.0,32.0,0.0,2.0,4.0,0,1.3333333333333333,13.253935660506503,52,6.04376846283846,1.0,0.46,5061.0,0.020549298557597313,43.75,87.5,0.25
350.0,Entire home/apt,Centrum-West,Entire rental unit,0,0,2,1.0,1.0,1.0,3,31,0.2,1,69,22,48,69,4.87,4.9,4.81,4.87,4.87,4.87,4.68,31.0,104.0,0.0,0.0,1.0,0,0.16666666666666666,13.25119780971937,20,2.362880285012191,0.75,0.06,4970.0,0.006237424547283702,175.0,350.0,0.5
126.0,Entire home/apt,Buitenveldert - Zuidas,Entire rental unit,0,0,2,1.0,1.0,1.0,3,28,0.18,2,0,0,0,0,4.62,4.75,4.54,4.71,4.96,4.57,4.5,28.0,508.0,0.0,0.0,0.0,0,0.0,13.196440793976729,24,5.2917820135377704,0.0,0.71,4973.0,0.005630404182585964,63.0,126.0,0.5
187.0,Entire home/apt,Slotervaart,Entire rental unit,0,0,6,1.5,3.0,1.0,3,13,0.09,1,112,0,0,22,4.77,4.92,4.77,4.62,5.0,4.38,4.46,13.0,48.0,0.0,1.0,1.0,0,0.5,13.160848733744011,40,6.780704635508018,1.0,0.5,4598.0,0.002827316224445411,31.166666666666668,62.333333333333336,0.16666666666666666
180.0,Entire home/apt,De Baarsjes - Oud-West,Entire condo,0,0,2,1.0,1.0,1.0,3,61,0.39,1,256,1,1,1,4.89,4.92,4.87,4.9,4.95,4.82,4.89,61.0,16.0,3.0,3.0,4.0,1,3.1666666666666665,13.149897330595483,21,5.52140789760183,1.0,0.62,4921.0,0.012395854501117659,90.0,180.0,0.5
280.0,Entire home/apt,Zuid,Entire rental unit,0,0,4,2.0,4.0,1.0,2,29,0.18,1,10,8,10,10,4.93,4.9,4.72,4.93,5.0,4.59,4.62,29.0,422.0,0.0,0.0,0.0,0,0.0,13.149897330595483,23,6.329072050182342,1.0,0.71,5019.0,0.005778043434947201,70.0,70.0,0.25
212.0,Entire home/apt,Westerpark,Entire rental unit,0,0,2,1.0,1.0,1.0,3,34,0.22,1,75,15,45,75,4.97,4.88,4.94,4.97,5.0,4.76,4.68,34.0,325.0,0.0,0.0,0.0,0,0.0,13.1854893908282,26,4.294286310016686,1.0,0.4,4970.0,0.006841046277665996,106.0,212.0,0.5
225.0,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,0,0,2,1.0,1.0,1.0,3,70,0.45,1,0,0,0,0,4.99,4.99,4.99,4.96,4.97,4.94,4.86,70.0,46.0,0.0,1.0,3.0,0,0.8333333333333334,13.486652977412732,34,1.9930094466671804,1.0,0.92,4933.0,0.014190147982971822,112.5,225.0,0.5
184.0,Entire home/apt,Centrum-West,Entire rental unit,0,0,2,1.0,1.0,1.0,5,108,0.69,1,287,8,23,53,4.71,4.77,4.19,4.92,4.89,4.91,4.56,108.0,30.0,1.0,3.0,3.0,1,2.0,12.91170431211499,47,2.5437259969772468,1.0,0.56,4922.0,0.021942299878098336,92.0,184.0,0.5
590.0,Entire home/apt,Westerpark,Boat,1,0,4,2.0,3.0,3.0,2,92,0.6,3,208,2,15,25,4.85,4.85,4.78,4.88,4.93,4.8,4.62,92.0,18.0,1.0,7.0,12.0,1,4.833333333333333,12.889801505817934,73,3.90979833348203,1.0,1.0,4836.0,0.01902398676592225,147.5,196.66666666666666,0.75
255.0,Entire home/apt,De Baarsjes - Oud-West,Entire condo,0,0,4,1.0,3.0,4.0,3,18,0.13,1,2,0,0,0,4.89,5.0,4.89,5.0,4.89,4.94,4.61,18.0,25.0,1.0,1.0,2.0,1,1.1666666666666667,12.980150581793293,53,5.817334739775621,1.0,0.57,4308.0,0.004178272980501393,63.75,85.0,1.0
295.0,Entire home/apt,Westerpark,Entire rental unit,0,1,2,2.0,1.0,1.0,3,84,0.57,1,190,0,0,0,4.83,4.93,4.89,4.93,4.93,4.86,4.76,84.0,91.0,0.0,0.0,1.0,0,0.16666666666666666,12.941820670773442,51,3.131173263586588,0.8,1.0,4617.0,0.018193632228719947,147.5,295.0,0.5
118.0,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,0,0,4,1.0,2.0,2.0,4,18,0.12,1,125,0,0,0,4.83,4.83,4.67,4.94,5.0,4.67,4.5,18.0,2032.0,0.0,0.0,0.0,0,0.0,12.785763175906913,9,4.756122036543987,1.0,0.0,4861.0,0.003702941781526435,29.5,59.0,0.5
112.0,Private room,Noord-West,Private room in home,1,0,2,1.0,1.0,0.0,2,21,0.14,2,134,4,10,30,5.0,4.95,4.95,5.0,5.0,4.86,4.81,21.0,42.0,0.0,2.0,7.0,0,1.8333333333333333,12.670773442847365,40,4.943953752540204,1.0,0.9,4753.0,0.004418262150220913,56.0,112.0,0.0
172.0,Private room,Centrum-Oost,Private room in bed and breakfast,1,0,2,1.0,1.0,1.0,2,82,0.74,2,275,3,13,35,4.99,4.96,4.96,4.98,5.0,4.98,4.91,82.0,73.0,0.0,1.0,3.0,0,0.8333333333333334,12.659822039698836,23,1.6620343544428524,1.0,0.74,3562.0,0.023020774845592364,86.0,172.0,0.5
235.0,Private room,Centrum-Oost,Private room in bed and breakfast,1,0,2,1.5,0.0,1.0,2,83,0.55,2,279,6,14,41,4.99,4.96,5.0,4.99,5.0,4.96,4.88,83.0,11.0,1.0,2.0,5.0,1,2.0,12.659822039698836,19,1.6619983010798154,1.0,0.74,4723.0,0.017573576116874868,117.5,235.0,0.5
439.0,Entire home/apt,Zuid,Entire loft,1,0,4,2.0,2.0,2.0,2,61,0.4,1,234,2,13,43,4.92,4.87,4.93,4.83,4.93,4.82,4.8,61.0,47.0,0.0,3.0,4.0,0,1.6666666666666667,12.635181382614647,47,5.738496567961039,1.0,0.78,4774.0,0.012777545035609551,109.75,219.5,0.5
340.0,Entire home/apt,Westerpark,Houseboat,0,0,2,1.0,1.0,1.0,1,50,0.33,1,253,0,0,0,4.9,4.84,4.68,5.0,4.96,4.98,4.72,50.0,88.0,0.0,1.0,5.0,0,1.1666666666666667,12.624229979466119,27,3.9164480949451828,1.0,0.89,4808.0,0.010399334442595673,170.0,340.0,0.5
103.0,Entire home/apt,De Baarsjes - Oud-West,Entire condo,1,0,2,1.5,1.0,1.0,3,100,0.66,1,5,5,5,5,4.91,4.89,4.86,4.89,4.92,4.73,4.73,100.0,104.0,0.0,0.0,4.0,0,0.6666666666666666,12.616016427104723,48,5.287992013147062,1.0,1.0,4752.0,0.021043771043771045,51.5,103.0,0.5
95.0,Private room,Noord-West,Private room in home,1,0,2,1.0,1.0,0.0,2,36,0.24,2,132,2,10,26,4.92,4.91,4.91,4.86,4.94,4.77,4.69,36.0,1.0,2.0,9.0,19.0,1,7.166666666666667,12.670773442847365,41,4.943953752540204,1.0,0.9,4746.0,0.007585335018963337,47.5,95.0,0.0
