term,estimate,std.error,statistic,p.value,conf_low,conf_high
(Intercept),3.182326726141602,0.13959872048409974,22.796245661177593,2.1652031505180306e-107,2.908623934185244,3.4560295180979606
price_per_person,0.009416467865432668,6.773972590529011e-5,139.00953597890617,0,0.009283654670280582,0.009549281060584754
accommodates,0.4850712203093307,0.03381374961911274,14.345383927346264,2.1329427778407784e-45,0.4187746407621096,0.5513677998565518
I(accommodates^2),-0.04170553072917751,0.0017228954434951246,-24.206652171864963,7.501995737083467e-120,-0.04508350791620491,-0.0383275535421501
property_typeBoat,0.12456944197816835,0.07996576986720895,1.5577845643833381,0.11937442904350096,-0.032214620208760036,0.28135350416509675
property_typeCasa particular,0.004192325316762947,0.10941285424093489,0.03831657025902229,0.9694374571167151,-0.21032685922740257,0.21871150986092847
property_typeEntire cabin,0.20583251665786445,0.09143362419902952,2.2511687408323158,0.024436435737248085,0.026564124116879417,0.3851009091988495
property_typeEntire condo,0.16059632978548408,0.07868779103639868,2.0409307170815976,0.041332328771913104,0.006317923616325077,0.3148747359546431
property_typeEntire cottage,0.331146284582971,0.133267508647457,2.4848238549951303,0.013007788102540404,0.06985671783488828,0.5924358513310537
property_typeEntire guest suite,0.18026820526687076,0.08721754637314252,2.0668800346163136,0.03881858079669114,0.009266022244489469,0.35127038828925206
property_typeEntire guesthouse,0.14251119740137438,0.08239167192829247,1.7296796395320808,0.08377539003525006,-0.01902918464886444,0.3040515794516132
property_typeEntire home,0.17049926867352602,0.07882503388239942,2.1630091390496218,0.030607742552174393,0.015951778733425737,0.3250467586136263
property_typeEntire loft,0.1682850258630819,0.07940805105649808,2.1192438754522347,0.03413984972280003,0.012594449311901373,0.3239756024142624
property_typeEntire place,0.19697397905820097,0.08859902549557977,2.2232070607596928,0.02626524901481328,0.023263213238432473,0.37068474487796943
property_typeEntire rental unit,0.16665088781811283,0.07860917528515468,2.1199928279820637,0.03407659191353529,0.012526618811046802,0.3207751568251789
property_typeEntire serviced apartment,0.1944938113610266,0.0798609867041135,2.4354045622004388,0.014924581371164368,0.037915191202433335,0.35107243151961987
property_typeEntire townhouse,0.17534822648219453,0.07982774077548678,2.1965826012207508,0.028115397830192835,0.018834789610774394,0.33186166335361467
property_typeEntire vacation home,0.2079123071022219,0.10021001407836153,2.0747657708104907,0.03808090758486582,0.011436576235064333,0.40438803796937944
property_typeEntire villa,0.3698690066626584,0.10170633311401381,3.6366369265130376,2.8018658171656145e-4,0.17045953330634867,0.5692784800189681
property_typeHouseboat,0.15036281018803171,0.07968952268653379,1.886857959728256,0.05926184411188755,-0.005879630812408249,0.3066052511884717
property_typeHut,0.2149890046777729,0.1349104099174799,1.5935686861323328,0.11112265968689668,-0.049521699505915034,0.47949970886146087
property_typePrivate room,-0.23938923686608363,0.13185458853162554,-1.8155548436500997,0.06952393072819567,-0.4979085763572595,0.019130102625092266
property_typePrivate room in bed and breakfast,-0.23423060775710616,0.1190307234086799,-1.9678163842867624,0.049167734239254426,-0.4676069683180291,-8.54247196183211e-4
property_typePrivate room in boat,-0.25622523726284396,0.12486667480253519,-2.0519905544697163,0.040244563842542,-0.5010437957513743,-0.011406678774313728
property_typePrivate room in casa particular,-0.2692282581430243,0.1276042956453477,-2.1098682985664836,0.034940260944859504,-0.5194143047102224,-0.01904221157582614
property_typePrivate room in condo,-0.28750654714445545,0.11963479819034029,-2.403201672869706,0.016303765851798203,-0.5220672806976059,-0.05294581359130507
property_typePrivate room in earthen home,-0.17827470159422731,0.13470104006934866,-1.3234842247873175,0.18576054630907848,-0.4423749069439268,0.08582550375547215
property_typePrivate room in farm stay,-0.41518799305087534,0.1619944049146605,-2.562977364987381,0.010419190013831594,-0.7328006527707869,-0.0975753333309638
property_typePrivate room in guest suite,-0.2217409324916783,0.12448439929556634,-1.781274872566107,0.07495395687532438,-0.46580998644899885,0.022328121465642253
property_typePrivate room in guesthouse,-0.4669532105889953,0.12357727654557528,-3.778633286329004,1.6030794702797318e-4,-0.7092437236796181,-0.22466269749837248
property_typePrivate room in home,-0.3055346349040649,0.1197818933469652,-2.5507581018029213,0.010790955489135199,-0.5403837690593976,-0.0706855007487322
property_typePrivate room in houseboat,-0.19305655379076536,0.12170175593986823,-1.5863086962044566,0.11275932634000915,-0.43166984674374254,0.04555673916221181
property_typePrivate room in hut,-0.400616828290023,0.15988043650321446,-2.5057276365515078,0.012264868396832466,-0.7140847576405309,-0.08714889893951505
property_typePrivate room in loft,-0.2590998573763827,0.123034109910937,-2.1059188997583043,0.035282196610094546,-0.5003254164052312,-0.01787429834753415
property_typePrivate room in nature lodge,-0.19692840350542212,0.16109410051014578,-1.2224432979345479,0.22162206615670194,-0.5127758906773923,0.11891908366654796
property_typePrivate room in rental unit,-0.3270863476942675,0.118015222255732,-2.7715606634667074,0.005608214714379331,-0.5584716763901928,-0.09570101899834219
property_typePrivate room in serviced apartment,-0.19932145430641585,0.12506251007597238,-1.5937746186713588,0.11107651005741516,-0.4445239752046116,0.0458810665917799
property_typePrivate room in townhouse,-0.3224958786558634,0.12309331653568743,-2.6199300476428773,0.008832637812844223,-0.563837520543067,-0.08115423676865977
property_typePrivate room in villa,-0.20093473307033574,0.16251474359406,-1.236409255102686,0.21638915727189645,-0.5195675894569549,0.11769812331628346
property_typeRoom in aparthotel,0.10414689227896771,0.1335816304640717,0.7796498060186442,0.43564956646930475,-0.1577585541700442,0.36605233872797965
property_typeRoom in bed and breakfast,-0.22350108988982065,0.14969831356749874,-1.4930100718138308,0.135524376801488,-0.5170055448912518,0.07000336511161054
property_typeRoom in boutique hotel,-0.22431189991748635,0.11861895217966784,-1.8910291803769201,0.058702677576513325,-0.4568809254638972,0.0082571256289245
property_typeRoom in hostel,-0.10836625176297782,0.13650761747091317,-0.7938476531250597,0.42733775992242007,-0.3760085044679737,0.15927600094201805
property_typeRoom in hotel,-0.2091812282533072,0.11781937595511204,-1.775439961021378,0.07591185253604273,-0.4401825729192348,0.021820116412620383
property_typeRoom in serviced apartment,-0.1426928230193499,0.1442827910552904,-0.988980196291523,0.32274096110511485,-0.42557938964505804,0.1401937436063582
property_typeShared room in hostel,0.0992649919856381,1.6809010564622908,0.05905463120747643,0.9529119544285736,-3.1963763330974455,3.394906317068722
property_typeShared room in houseboat,0.21222370917672806,1.7357783247843013,0.12226429270748056,0.9026967054040654,-3.1910121662187514,3.615459584572207
property_typeShepherd’s hut,0.17257885508832876,0.13363751003546215,1.2913953203897104,0.19665161950645502,-0.08943615106617225,0.4345938612428298
property_typeTiny home,0.17728325098725778,0.08498238935697541,2.086117515978106,0.03703996700777664,0.01066340552258685,0.34390309645192874
property_typeTower,0.17068308892173317,0.13416890328391115,1.272150884028286,0.20340373919819835,-0.09237378792630202,0.43373996576976837
neighbourhood_cleansedBijlmer-Oost,-0.2446912842395301,0.12246595531720654,-1.9980351568379986,0.04578983102483078,-0.48480289682225364,-0.004579671656806533
neighbourhood_cleansedBos en Lommer,-0.19677684568318737,0.10182639065259469,-1.932473933545765,0.053381356152860396,-0.3964217086146382,0.002868017248263438
neighbourhood_cleansedBuitenveldert - Zuidas,-0.21151657548408878,0.1119289500748873,-1.8897396548665137,0.05887507295511761,-0.430968917382379,0.007935766414201462
neighbourhood_cleansedCentrum-Oost,-0.23698840900300505,0.1017361444203524,-2.3294416193306744,0.019892101648429757,-0.43645633158971203,-0.03752048641629807
neighbourhood_cleansedCentrum-West,-0.25932381067534005,0.10090861162415381,-2.569887807407584,0.010214028637002864,-0.45716923961762423,-0.06147838173305589
neighbourhood_cleansedDe Aker - Nieuw Sloten,-0.15124703619973143,0.1298435356706188,-1.164840709385857,0.2441625911845625,-0.40582342563434104,0.10332935323487816
neighbourhood_cleansedDe Baarsjes - Oud-West,-0.2102947593778123,0.09997122618289854,-2.1035528662324854,0.035488411211911604,-0.40630231321980115,-0.014287205535823438
neighbourhood_cleansedDe Pijp - Rivierenbuurt,-0.22022333711772477,0.10109262253642684,-2.1784313394221364,0.029440227297040024,-0.4184295451578754,-0.022017129077574138
neighbourhood_cleansedGaasperdam - Driemond,-0.31047983569737897,0.16468920932929673,-1.8852469871087505,0.059478981030652474,-0.633376035907522,0.012416364512764122
neighbourhood_cleansedGeuzenveld - Slotermeer,-0.14615191945960185,0.10727471376895335,-1.362407918182673,0.17315654861497182,-0.3564789809331058,0.06417514201390209
neighbourhood_cleansedIJburg - Zeeburgereiland,-0.12689331113632898,0.10768201463587133,-1.1784076622769457,0.23871396055055488,-0.3380189428549979,0.0842323205823399
neighbourhood_cleansedNoord-Oost,-0.23554254676034841,0.10774773921530821,-2.1860555820078296,0.028877341405724278,-0.4467970406980236,-0.024288052822673184
neighbourhood_cleansedNoord-West,-0.2263385911789292,0.10474421908132558,-2.160869527350194,0.030772820158231153,-0.43170426433431214,-0.020972918023546283
neighbourhood_cleansedOostelijk Havengebied - Indische Buurt,-0.1245896877391199,0.10292260256681333,-1.2105182402304793,0.226161556103821,-0.32638382725746923,0.07720445177922945
neighbourhood_cleansedOsdorp,-0.08509678774943631,0.12070506151164148,-0.7049976751905229,0.48085843393352656,-0.3217559220483298,0.15156234654945722
